key,kind,description,units,weight,cross_wires
AR0936590,ARM       ,VIGARMEX 09/36 A 5.90 MTS.              ,PZA    ,4.81,29
AR09366,ARM       ,VIGARMEX 09/36 A 6.00 MTS.              ,PZA    ,4.81,30
AR09367,ARM       ,VIGARMEX 09/36 A 7.00 MTS.              ,PZA    ,5.62,35
AR09369,ARM       ,VIGARMEX 09/36 A 9.00 MTS.              ,PZA    ,7.22,45
AR09636,ARM       ,VIGARMEX 09/63 A 6.00 MTS.              ,PZA    ,6.09,30
AR09637,ARM       ,VIGARMEX 09/63 A 7.00 MTS.              ,PZA    ,7.1,35
AR09639,ARM       ,VIGARMEX 09/63 A 9.00 MTS.              ,PZA    ,9.13,45
AR09646,ARM       ,VIGARMEX 9/64 A 6.00 MTS.               ,PZA    ,6.09,30
AR09996,ARM       ,VIGARMEX 09/99 A 6.00 MTS.              ,PZA    ,7.43,30
AR09997,ARM       ,VIGARMEX 09/99 A 7.00 MTS.              ,PZA    ,8.67,35
AR09999,ARM       ,VIGARMEX 09/99 A 9.00 MTS.              ,PZA    ,11.15,45
AR103610,ARM       ,VIGARMEX 10/36 A 10.00 MTS.             ,PZA    ,8.15,30
AR10366,ARM       ,VIGARMEX 10/36 A 6.00 MTS.              ,PZA    ,4.89,30
AR10367,ARM       ,VIGARMEX 10/36 A 7.00 MTS.              ,PZA    ,5.71,35
AR10369,ARM       ,VIGARMEX 10/36 A 9.00 MTS.              ,PZA    ,7.34,45
AR10636,ARM       ,VIGARMEX 10/63 A 6.00 MTS.              ,PZA    ,6.3519,30
AR10637,ARM       ,VIGARMEX 10/63 A 7.00 MTS.              ,PZA    ,7.19,35
AR10639,ARM       ,VIGARMEX 10/63 A 9.00 MTS.              ,PZA    ,9.25,45
AR10646,ARM       ,VIGARMEX 10/64 A 6.00 MTS.              ,PZA    ,6.3519,30
AR10996,ARM       ,VIGARMEX 10/99 A 6.00 MTS.              ,PZA    ,7.51,30
AR10997,ARM       ,VIGARMEX 10/99 A 7.00 MTS.              ,PZA    ,8.76,35
AR10999,ARM       ,VIGARMEX 10/99 A 9.00 MTS.              ,PZA    ,11.27,45
AR11366,ARM       ,VIGARMEX 11/36 A 6.00 MTS.              ,PZA    ,4.98,30
AR11367,ARM       ,VIGARMEX 11/36 A 7.00 MTS.              ,PZA    ,5.81,35
AR113684,ARM       ,VIGARMEX 11/36 A 8.40 MTS.              ,PZA    ,6.97,42
AR11369,ARM       ,VIGARMEX 11/36 A 9.00 MTS.              ,PZA    ,7.47,45
AR116318,ARM       ,VIGARMEX 11/63 A 1.80 MTS.              ,PZA    ,1.88,9
AR11636,ARM       ,VIGARMEX 11/63 A 6.00 MTS.              ,PZA    ,6.25,30
AR11637,ARM       ,VIGARMEX 11/63 A 7.00 MTS.              ,PZA    ,7.29,35
AR11639,ARM       ,VIGARMEX 11/63 A 9.00 MTS.              ,PZA    ,9.38,45
AR11996,ARM       ,VIGARMEX 11/99 A 6.00 MTS.              ,PZA    ,7.59,30
AR11997,ARM       ,VIGARMEX 11/99 A 7.00 MTS.              ,PZA    ,8.86,35
AR11999,ARM       ,VIGARMEX 11/99 A 9.00 MTS.              ,PZA    ,11.39,45
AR123636,ARM       ,VIGARMEX 12/36 A 3.60 MTS.              ,PZA    ,3.04,30
AR123647,ARM       ,VIGARMEX 12/36 A 4.70 MTS.              ,PZA    ,3.97,23
AR123651,ARM       ,VIGARMEX 12/36 A 5.10 MTS.              ,PZA    ,4.31,25
AR123656,ARM       ,VIGARMEX 12/36 A 5.60 MTS.              ,PZA    ,5.07,28
AR12366,ARM       ,VIGARMEX 12/36 A 6.00 MTS.              ,PZA    ,5.07,30
AR123663,ARM       ,VIGARMEX 12/36 A 6.30 MTS.              ,PZA    ,5.32,31
AR123667,ARM       ,VIGARMEX 12/36 A 6.70 MTS.              ,PZA    ,5.66,33
AR12367,ARM       ,VIGARMEX 12/36 A 7.00 MTS.              ,PZA    ,5.91,35
AR1236720,ARM       ,VIGARMEX 12/36 A 7.20 MTS.              ,PZA    ,6.078,36
AR123675,ARM       ,VIGARMEX 12/36 A 7.50 MTS.              ,PZA    ,6.33,37
AR12368,ARM       ,VIGARMEX 12/36 A 8.00 MTS.              ,PZA    ,6.75,40
AR123681,ARM       ,VIGARMEX 12/36 A 8.10 MTS.              ,PZA    ,6.84,40
AR123683,ARM       ,VIGARMEX 12/36 A 8.30 MTS.              ,PZA    ,7.01,41
AR123684,ARM       ,VIGARMEX 12/36 A 8.40 MTS.              ,PZA    ,7.09,42
AR1236840,ARM       ,VIGARMEX 12/36 A 8.40 MTS.              ,PZA    ,6.84,42
AR123686,ARM       ,VIGARMEX 12/36 A 8.60 MTS.              ,PZA    ,7.26,43
AR123688,ARM       ,VIGARMEX 12/36 A 8.80 MTS.              ,PZA    ,7.43,44
AR12369,ARM       ,VIGARMEX 12/36 A 9.00 MTS.              ,PZA    ,7.6,45
AR1263110,ARM       ,VIGARMEX 12/63 A 1.10 MTS.              ,PZA    ,1.16,5
AR1263150,ARM       ,VIGARMEX 12/63 A 1.50 MTS.              ,PZA    ,1.561,7
AR1263180,ARM       ,VIGARMEX 12/63 A 1.80 MTS.              ,PZA    ,1.9,9
AR1263250,ARM       ,VIGARMEX 12/63 A 2.50 MTS.              ,PZA    ,2.601,12
AR1263280,ARM       ,VIGARMEX 12/63 A 2.80 MTS.              ,PZA    ,2.96,14
AR1263290,ARM       ,VIGARMEX 12/63 A 2.90 MTS.              ,PZA    ,3.065,14
AR1263300,ARM       ,VIGARMEX 12/63 A 3.00 MTS.              ,PZA    ,3.122,15
AR1263310,ARM       ,VIGARMEX 12/63 A 3.10 MTS.              ,PZA    ,3.27,15
AR1263320,ARM       ,VIGARMEX 12/63 A 3.20 MTS.              ,PZA    ,3.27,16
AR1263330,ARM       ,VIGARMEX 12/63 A 3.30 MTS.              ,PZA    ,3.27,16
AR1263340,ARM       ,VIGARMEX 12/63 A 3.40 MTS.              ,PZA    ,3.59,17
AR1263350,ARM       ,VIGARMEX 12/63 A 3.50 MTS.              ,PZA    ,3.27,17
AR1263370,ARM       ,VIGARMEX 12/63 A 3.70 MTS.              ,PZA    ,3.27,18
AR1263380,ARM       ,VIGARMEX 12/63 A 3.80 MTS.              ,PZA    ,3.27,19
AR1263450,ARM       ,VIGARMEX 12/63 A 4.50 MTS.              ,PZA    ,4.683,22
AR1263580,ARM       ,VIGARMEX 12/63 A 5.80 MTS.              ,PZA    ,6.12,29
AR12636,ARM       ,VIGARMEX 12/63 A 6.00 MTS.              ,PZA    ,6.34,30
AR12637,ARM       ,VIGARMEX 12/63 A 7.00 MTS.              ,PZA    ,7.39,35
AR12639,ARM       ,VIGARMEX 12/63 A 9.00 MTS.              ,PZA    ,9.51,45
AR1264710,ARM       ,VIGARMEX 12/64 A 7.10                   ,PZA    ,7.502,35
AR1264840,ARM       ,VIGARMEX 12/64 A 8.40 MTS               ,PZA    ,8.875,
AR12649,ARM       ,VIGARMEX 12/64 A 9.00 MTS.              ,PZA    ,9.51,
AR12996,ARM       ,VIGARMEX 12/99 A 6.00 MTS.              ,PZA    ,7.68,
AR12997,ARM       ,VIGARMEX 12/99 A 7.00 MTS.              ,PZA    ,8.96,
AR1299880,ARM       ,VIGARMEX 12/99 A 8.80 MTS.              ,PZA    ,11.264,
AR12999,ARM       ,VIGARMEX 12/99 A 9.00 MTS.              ,PZA    ,11.52,
AR13366,ARM       ,VIGARMEX 13/36 A 6.00 MTS.              ,PZA    ,5.16,
AR13367,ARM       ,VIGARMEX 13/36 A 7.00 MTS.              ,PZA    ,6.02,
AR13369,ARM       ,VIGARMEX 13/36 A 9.00 MTS.              ,PZA    ,7.73,
AR13636,ARM       ,VIGARMEX 13/63 A 6.00 MTS.              ,PZA    ,6.43,
AR13637,ARM       ,VIGARMEX 13/63 A 7.00 MTS.              ,PZA    ,7.5,
AR13639,ARM       ,VIGARMEX 13/63 A 9.00 MTS.              ,PZA    ,9.64,
AR13996,ARM       ,VIGARMEX 13/99 A 6.00 MTS.              ,PZA    ,7.77,
AR13997,ARM       ,VIGARMEX 13/99 A 7.00 MTS.              ,PZA    ,9.07,
AR13999,ARM       ,VIGARMEX 13/99 A 9.00 MTS.              ,PZA    ,11.66,
AR1436111,ARM       ,VIGARMEX 14/36 A 11.10 MTS.             ,PZA    ,9.71,
AR1436150,ARM       ,VIGARMEX 14/36 A 1.50 MTS.              ,PZA    ,1.4,
AR143616,ARM       ,VIGARMEX 14/36 A 1.60 MTS.              ,PZA    ,1.4,
AR1436220,ARM       ,VIGARMEX 14/36 A 2.20 MTS.              ,PZA    ,2.71,
AR1436230,ARM       ,VIGARMEX 14/36 A 2.30 MTS.              ,PZA    ,2.71,
AR1436260,ARM       ,VIGARMEX 14/36 A 2.60 MTS.              ,PZA    ,2.71,
AR1436270,ARM       ,VIGARMEX 14/36 A 2.70 MTS.              ,PZA    ,2.71,
AR1436300,ARM       ,VIGARMEX 14/36 A 6.00 MTS.              ,PZA    ,2.64,
AR143631,ARM       ,VIGARMEX 14/36 A 3.10 MTS.              ,PZA    ,2.71,
AR143632,ARM       ,VIGARMEX 14/36 A 3.20 MTS.              ,PZA    ,2.8,
AR143635,ARM       ,VIGARMEX 14/36 A 3.50 MTS.              ,PZA    ,3.06,
AR143637,ARM       ,VIGARMEX 14/36 A 3.70 MTS.              ,PZA    ,3.24,
AR143638,ARM       ,VIGARMEX 14/36 A 3.80 MTS.              ,PZA    ,3.32,
AR1436480,ARM       ,VIGARMEX 14/36 A 4.80MTS.               ,PZA    ,5.04,
AR14365,ARM       ,VIGARMEX 14/36 A 5 MTS.                 ,PZA    ,5.25,
AR1436520,ARM       ,VIGARMEX 14/36 A 5.20 MTS.              ,PZA    ,5.25,
AR14366,ARM       ,VIGARMEX 14/36 A 6.00 MTS.              ,PZA    ,5.277,30
AR143664,ARM       ,VIGARMEX 14/36 A 6.40 MTS.              ,PZA    ,5.6,
AR143668,ARM       ,VIGARMEX 14/36 A 6.80 MTS.              ,PZA    ,5.94,
AR14367,ARM       ,VIGARMEX 14/36 A 7.00 MTS.              ,PZA    ,6.12,35
AR14368,ARM       ,VIGARMEX 14/36 A 8.00 MTS.              ,PZA    ,7,40
AR1436871,ARM       ,VIGARMEX 14/36 A 8.71 MTS.              ,PZA    ,7.62,
AR14369,ARM       ,VIGARMEX 14/36 A 9.00 MTS.              ,PZA    ,7.87,45
AR1463100,ARM       ,VIGARMEX 14/63 A 10.0 MTS.              ,PZA    ,10.87,
AR1463270,ARM       ,VIGARMEX 14/63 A 2.70 MTS.              ,PZA    ,2.94,13
AR146328,ARM       ,VIGARMEX 14/63 A 2.80 MTS.              ,PZA    ,3.04,
AR1463290,ARM       ,VIGARMEX 14/63 A 2.90 MTS.              ,PZA    ,3.16,14
AR1463300,ARM       ,VIGARMEX 14/63 A 3.00 MTS.              ,PZA    ,3.25,15
AR146336,ARM       ,VIGARMEX 14/63 A 3.60 MTS.              ,PZA    ,3.91,
AR14634,ARM       ,VIGARMEX 14/63 A 4.00 MTS.              ,PZA    ,4.35,20
AR146342,ARM       ,VIGARMEX 14/63 A 4.20 MTS.              ,PZA    ,4.57,
AR146345,ARM       ,VIGARMEX 14/63 A 4.50 MTS.              ,PZA    ,4.89,22
AR14635,ARM       ,VIGARMEX 14/63 A 5.00 MTS.              ,PZA    ,5.43,25
AR1463510,ARM       ,VIGARMEX 14/63 A 5.10 MTS.              ,PZA    ,5.6,
AR1463520,ARM       ,ARMADURA 14-63 A 5.20 MTS               ,PZA    ,5.886,
AR1463530,ARM       ,VIGARMEX 14/63 A 5.30 MTS.              ,PZA    ,5.78,
AR1463540,ARM       ,VIGARMEX 14/63 A 5.40 MTS.              ,PZA    ,5.886,
AR146355,ARM       ,VIGARMEX 14/63 A 5.50 MTS.              ,PZA    ,5.98,
AR1463550,ARM       ,VIGARMEX 14/63 A 5.50 MTS.              ,PZA    ,5.995,27
AR1463560,ARM       ,VIGARMEX 14/63 A 5.60 MTS.              ,PZA    ,6.10886,
AR1463570,ARM       ,VIGARMEX 14/63 A 5.70 MTS.              ,PZA    ,6.21,28
AR1463580,ARM       ,VIGARMEX 14/63 A 5.80 MTS.              ,PZA    ,6.322,
AR1463590,ARM       ,VIGARMEX 14/63 A 5.90 MTS.              ,PZA    ,6.43,29
AR14636,ARM       ,VIGARMEX 14/63 A 6.00 MTS.              ,PZA    ,6.545,30
AR1463610,ARM       ,VIGARMEX 14/63 A 6.10 MTS.              ,PZA    ,6.62,
AR1463620,ARM       ,VIGARMEX 14/63 A 6.20 MTS.              ,PZA    ,6.52,
AR1463640,ARM       ,VIGARMEX 14-63 A 6.40 MT                ,PZA    ,6.981,
AR146365,ARM       ,VIGARMEX 14/63 A 6.50 MTS               ,PZA    ,7.0904,32
AR1463650,ARM       ,VIGARMEX 14-63 A 6.50 MT                ,PZA    ,6.981,
AR1463680,ARM       ,VIGARMEX 14/63 A 6.80 MTS.              ,PZA    ,6.545,
AR1463690,ARM       ,ARMADURA 14-63 A 6.90 MTS               ,PZA    ,7.5,
AR14637,ARM       ,VIGARMEX 14/63 A 7.00 MTS.              ,PZA    ,7.5,35
AR14638,ARM       ,VIGARMEX 14/63 A 8.00 MTS.              ,PZA    ,8.69,
AR14639,ARM       ,VIGARMEX 14/63 A 9.00 MTS.              ,PZA    ,9.78,45
AR14646,ARM       ,VIGARMEX 14/64 A 6.00 MTS.              ,PZA    ,6.545,
AR146462,ARM       ,VIGARMEX 14/64 A 6.20 MTS.              ,PZA    ,9.78,
AR14647,ARM       ,VIGARMEX 14/64 A 7.00 MTS.              ,PZA    ,11.592,
AR14649,ARM       ,VIGARMEX 14/64 A 9.00 MTS.              ,PZA    ,9.78,
AR149910,ARM       ,VIGARMEX 14/99 A 10.00 MTS.             ,PZA    ,11.8,
AR1499100,ARM       ,VIGARMEX 14/99 A 10.00 MTS.             ,PZA    ,13.149,
AR14994,ARM       ,VIGARMEX 14/99 A 4.00 MTS.              ,PZA    ,5.37,
AR149941,ARM       ,VIGARMEX 14/99 A 4.10 MTS.              ,PZA    ,5.37,
AR14996,ARM       ,VIGARMEX 14/99 A 6.00 MTS.              ,PZA    ,7.87,
AR14997,ARM       ,VIGARMEX 14/99 A 7.00 MTS.              ,PZA    ,9.18,
AR14998,ARM       ,VIGARMEX 14/99 A 8.00 MTS.              ,PZA    ,10.49,
AR14999,ARM       ,VIGARMEX 14/99 A 9.00 MTS.              ,PZA    ,11.8,
AR153654,ARM       ,VIGARMEX 15/36 A 5.40 MTS.              ,PZA    ,4.81,
AR15366,ARM       ,VIGARMEX 15/36 A 6.00 MTS.              ,PZA    ,5.34,
AR15367,ARM       ,VIGARMEX 15/36 A 7.00 MTS.              ,PZA    ,6.23,
AR15368,ARM       ,VIGARMEX 15/36 A 8.00 MTS.              ,PZA    ,7.13,
AR15369,ARM       ,VIGARMEX 15/36 A 9.00 MTS.              ,PZA    ,8.02,
AR15636,ARM       ,VIGARMEX 15/63 A 6.00 MTS.              ,PZA    ,6.62,
AR15637,ARM       ,VIGARMEX 15/63 A 7.00 MTS.              ,PZA    ,7.72,
AR15639,ARM       ,VIGARMEX 15/63 A 9.00 MTS.              ,PZA    ,9.92,
AR159941,ARM       ,VIGARMEX 15/99 A 4.10 MTS.              ,PZA    ,11.94,
AR15996,ARM       ,VIGARMEX 15/99 A 6.00 MTS.              ,PZA    ,7.96,
AR15997,ARM       ,VIGARMEX 15/99 A 7.00 MTS.              ,PZA    ,9.29,
AR15999,ARM       ,VIGARMEX 15/99 A 9.00 MTS.              ,PZA    ,11.94,
AR16366,ARM       ,VIGARMEX 16/36 A 6.00 MTS.              ,PZA    ,5.44,
AR16367,ARM       ,VIGARMEX 16/36 A 7.00 MTS.              ,PZA    ,6.35,
AR16369,ARM       ,VIGARMEX 16/36 A 9.00 MTS.              ,PZA    ,8.16,
AR16636,ARM       ,VIGARMEX 16/63 A 6.00 MTS.              ,PZA    ,6.71,
AR16637,ARM       ,VIGARMEX 16/63 A 7.00 MTS.              ,PZA    ,7.83,
AR16639,ARM       ,VIGARMEX 16/63 A 9.00 MTS.              ,PZA    ,10.07,
AR16996,ARM       ,VIGARMEX 16/99 A 6.00 MTS.              ,PZA    ,8.06,
AR16997,ARM       ,VIGARMEX 16/99 A 7.00 MTS.              ,PZA    ,9.4,
AR16999,ARM       ,VIGARMEX 16/99 A 9.00 MTS.              ,PZA    ,12.09,
AR24998,ARM       ,VIGARMEX 24/99 A 8.00 MTS.              ,PZA    ,15.86,
AR25639,ARM       ,VIGARMEX 25/63 A 9.00 MTS.              ,PZA    ,15.86,
AR26997,ARM       ,VIGARMEX 26/99 A 7.00 MTS.              ,PZA    ,15.86,
AR2736610M,ARM       ,VIGARMEX 27/36 A 6.10 MTS.              ,PZA    ,12.2686,
ARSEG,ARM       ,VIGARMEX  SEGUNDA                       ,KG     ,1,
CH31010AA,CAT       ,ARMEX EN HOJA 10*10*3                   ,TR     ,4.2,38
CH31212AA,CAT       ,ARMEX EN HOJA 12*12*3                   ,TR     ,4.4,38
CH31212M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA 12*12*3        ,KG     ,1,
CH31515AA,CAT       ,ARMEX EN HOJA 15*15*3                   ,TR     ,4.7,38
CH41010,CAT       ,ARMEX EN HOJA 10*10*4                   ,TR     ,5.292,38
CH41020AA,CAT       ,ARMEX EN HOJA 10*20*4                   ,TR     ,6.002,
CH41020N,CAT       ,ARMEX EN HOJA 10*20*4                   ,TR     ,6.036,
CH41212AA,CAT       ,ARMEX EN HOJA 12*12*4                   ,TR     ,5.7,38
CH41212M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA 12*12*4        ,KG     ,1,38
CH41220AA,CAT       ,ARMEX EN HOJA 12*20*4                   ,TR     ,6.2,38
